,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
10,单价一万八的大三房哪里找 近嘉庚 进岛走快速路 ?,https://xm.58.com/ershoufang/44349569273865x.shtml,190,18118元/㎡,同安,美人山一里2-28号,3室2厅2卫,104.87㎡,南北, 否 ,低层(共35层),精装修,70年产权,2012年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
11,阳光城文澜府 3室2厅1卫 人气楼盘 优惠楼盘 ?,https://xm.58.com/ershoufang/44312167938190x.shtml,276,31012元/㎡,集美,"灌口中路,近景湖北路",3室2厅1卫,89.0㎡,南, 是 ,,精装修,70年产权,2020年,阳光城文澜府,31011.0元/㎡,3.0元/平米/月,3.08,30,920
12,松柏一小单价不到5万买大三房，楼层好，首付低，安?,https://xm.58.com/ershoufang/43850575778581x.shtml,590,50428元/㎡,思明,体育路167-193号,3室1厅2卫,117.0㎡,西南, 否 ,低层(共7层),简单装修,70年产权,1998年,海鸿花园,54176.0元/㎡,1.2元/平米/月,0,0,30
13,3室2厅94.00平方米朝东西?,https://xm.58.com/ershoufang/44267474558866x.shtml,335,35639元/㎡,翔安,"翔安东路,近鸿翔北路",3室2厅2卫,94.0㎡,东西, 否 ,低层(共34层),精装修,70年产权,2017年,国贸天成,36272.0元/㎡,0.0元/平米/月,2,30,1924
14,杏东兴阁里小区 满五  小三房，燃气入户停车方便?,https://xm.58.com/ershoufang/42558347822088x.shtml,185,23010元/㎡,集美,杏林东路9-17号,3室2厅1卫,80.4㎡,南北, 否 ,高层(共6层),简单装修,70年产权,1997年,兴阁里,22302.0元/㎡,0.0元/平米/月,0,0,500
15,好房出售 可做四房 精装修 南北通透 自住保养好?,https://xm.58.com/ershoufang/43947431251478x.shtml,268,23480元/㎡,集美,锦园东里1-16号,3室2厅2卫,114.14㎡,南北, 否 ,高层(共33层),精装修,70年产权,2012年,聚镇,24050.0元/㎡,1.6元/平米/月,2.79,38,700
16,带花园，单价3.67万，精装四房，集美世茂璀璨天?,https://xm.58.com/ershoufang/44336509670919x.shtml,408,36757元/㎡,集美,滨水中二里1-13号,4室2厅2卫,111.0㎡,南, 否 ,低层(共33层),精装修,70年产权,2019年,世茂璀璨天城(一期),45568.0元/㎡,2.9元/平米/月,3.32,35,1007
17,满五年 南北向 二室一厅 简单装修 松柏?,https://xm.58.com/ershoufang/43792124407053x.shtml,398,62717元/㎡,思明,莲岳里32-204号,2室1厅1卫,63.46㎡,南北, 否 ,高层(共8层),简单装修,,1993年,莲岳里小区,65755.0元/㎡,0.6元/平米/月,0,27,500
18,3室1厅1卫 86.0平米 560.00万元?,https://xm.58.com/ershoufang/44150248644884x.shtml,560,65117元/㎡,思明,万寿路180-184号,3室1厅1卫,86.0㎡,南北, 否 ,中层(共8层),简单装修,,1997年,一建公司家属花园,63427.0元/㎡,0.5元/平米/月,0,0,4
19,滨北豪宅正南向精装三房  蓝湾国际小区氛围好?,https://xm.58.com/ershoufang/44344765625479x.shtml,1166,79995元/㎡,思明,体育路90-116号,3室2厅2卫,145.76㎡,南, 否 ,低层(共31层),精装修,70年产权,2008年,蓝湾国际,81644.0元/㎡,1.5元/平米/月,4,46,35
20,长青路 莲坂西小区  精装 南北通风 小3房 五?,https://xm.58.com/ershoufang/44106426076681x.shtml,348,52728元/㎡,思明,长青路174-177号,3室1厅1卫,66.0㎡,南北, 否 ,高层(共6层),精装修,70年产权,2000年,长青路174-177号小区,52727.0元/㎡,0,0,"
                                            ",
21,新景城市天骄三期 精装两房一厅 产权78.95平?,https://xm.58.com/ershoufang/43962726252050x.shtml,155,19633元/㎡,同安,梧侣路267-269号,2室1厅1卫,78.95㎡,南, 否 ,高层(共17层),精装修,70年产权,2013年,新景城市天骄(三期),21288.0元/㎡,1.6元/平米/月,2.17,46,100
22,振兴小区 舒安里 大三房 楼层佳 学校近 满五 ?,https://xm.58.com/ershoufang/44237571557133x.shtml,215,16045元/㎡,同安,舒安里37-45号,3室2厅2卫,134.0㎡,南北, 否 ,中层(共7层),精装修,70年产权,2000年,鸿吉楼,14844.0元/㎡,0,0,"
                                            ",
23,青春海岸南北通透近地铁口读实验二小新阳幼儿院看房?,https://xm.58.com/ershoufang/44123279557510x.shtml,253,28427元/㎡,海沧,新景西里102-123号,3室2厅1卫,89.0㎡,南, 否 ,中层(共31层),精装修,70年产权,2000年,海投青春海岸,29139.0元/㎡,2.0元/平米/月,3.06,42,2000
24,龙湖春江天玺 2室1厅1卫 人气楼盘 安全性高 ?,https://xm.58.com/ershoufang/44345209217045x.shtml,156,33914元/㎡,海沧,"东孚南路,近东孚东二路",2室1厅1卫,46.0㎡,南, 是 ,,精装修,70年产权,2022年,龙湖春江天玺,33711.0元/㎡,3.3元/平米/月,2.5,30,1592
25,双桥明珠 300万 南北通透 3室2厅 精装修 ?,https://xm.58.com/ershoufang/43969203385625x.shtml,300,24808元/㎡,集美,双桥一里1-42号,3室2厅2卫,120.93㎡,南北, 否 ,中层(共12层),精装修,70年产权,2009年,双桥明珠,24593.0元/㎡,1.6元/平米/月,1.8,45,624
26,角美  纯洋房社区，同享万达繁华，85平多享一间?,https://xm.58.com/ershoufang/44283857092356x.shtml,146,17381元/㎡,厦门周边,角江路,3室2厅2卫,84.0㎡,南北, 是 ,中层(共15层),毛坯,70年产权,2019年,宝嘉誉峰,18045.0元/㎡,0.0元/平米/月,1.99,30,912
27,城南BRT站附近华清中心城一期 3房2厅?,https://xm.58.com/ershoufang/44344804688144x.shtml,215,16202元/㎡,同安,"银莲里316-321,335-359号",3室2厅2卫,132.7㎡,南北, 否 ,高层(共7层),精装修,70年产权,2003年,华清中心城(一期),17055.0元/㎡,1.7元/平米/月,0,38,600
28,产权满两年 小区物业管理好 业主诚意出售?,https://xm.58.com/ershoufang/44345221023503x.shtml,204,24086元/㎡,集美,锦园东二里18-27号,2室1厅1卫,84.7㎡,南, 否 ,高层(共33层),精装修,70年产权,2015年,中海锦城国际(一期),24968.0元/㎡,2.9元/平米/月,2.59,33,500
29,中梁正荣府 实验二小旁 全能户型78平精装三房 ?,https://xm.58.com/ershoufang/44293588951847x.shtml,258,33077元/㎡,集美,东英南路,3室2厅1卫,78.0㎡,南, 是 ,,精装修,,,中梁正荣府,33076.0元/㎡,2.9元/平米/月,2.9,38,653
30,精装修 3室2厅 满五  住房 南北通透 楼层好?,https://xm.58.com/ershoufang/43392988031133x.shtml,206.8,25690元/㎡,集美,"文华路12,14号,东华路9-19号,文达路8之2号,文康路57,69号",3室2厅1卫,80.5㎡,南北, 否 ,高层(共7层),精装修,70年产权,1995年,文华苑,25565.0元/㎡,1.5元/平米/月,1,0,500
31,联发嘉和府 4室2厅3卫 装修交付 安全性高 低?,https://xm.58.com/ershoufang/44316412080532x.shtml,1326,68000元/㎡,湖里,"乌石浦路,近兴山路",4室2厅3卫,195.0㎡,南, 是 ,,精装修,,,联发嘉和府,63270.0元/㎡,0.0元/平米/月,2.91,35,528
32,中交国贸鹭原 集美核心 地铁口 杏林桥头 名校在?,https://xm.58.com/ershoufang/44335829350676x.shtml,366,38527元/㎡,集美,"杏锦路,近苑亭路",3室2厅2卫,95.0㎡,南, 是 ,,精装修,,,中交国贸鹭原,38532.0元/㎡,0.0元/平米/月,3.48,30,1473
33,水晶湖郡227平全观湖海景可以做5房临湖景让你心?,https://xm.58.com/ershoufang/44200332156805x.shtml,980,43218元/㎡,集美,"滨水五里1-11,69-70,88-89号",4室2厅4卫,226.76㎡,南, 否 ,中层(共26层),毛坯,70年产权,2018年,水晶湖郡(五期公寓),41884.0元/㎡,2.5元/平米/月,2.2,40,1033
34,BRT地铁瑞景嘉盛豪园2房高层客厅主卧朝南派位外?,https://xm.58.com/ershoufang/44355722598157x.shtml,455,51228元/㎡,思明,洪莲西里153-160号,2室2厅1卫,88.82㎡,南, 否 ,高层(共11层),简单装修,70年产权,2007年,嘉盛豪园G组团,51170.0元/㎡,1.65元/平米/月,2,40,500
35,莲坂松柏 筼筜湖 松柏名校 大3房朝南 客厅带阳?,https://xm.58.com/ershoufang/44158694409751x.shtml,395,43865元/㎡,思明,长青路1-154号,3室2厅1卫,90.05㎡,南北, 否 ,高层(共7层),简单装修,70年产权,1992年,莲坂西小区,49759.0元/㎡,0.5元/平米/月,0,0,500
36,BRT站地铁旁 彩虹湾精装2室1厅1卫 53.9?,https://xm.58.com/ershoufang/44305452563997x.shtml,116,21522元/㎡,同安,同集中路682-688号,2室1厅1卫,53.9㎡,南北, 否 ,低层(共11层),精装修,70年产权,2012年,彩虹湾,21330.0元/㎡,1.5元/平米/月,2.3,35,230
37,(真实保证)国贸天悦3室?,https://xm.58.com/ershoufang/44357947702041x.shtml,490,38583元/㎡,集美,杏北六里35-45号,3室2厅2卫,127.0㎡,南北, 否 ,高层(共32层),精装修,70年产权,2016年,国贸天悦(一期),37986.0元/㎡,2.8元/平米/月,3.27,30,1266
38,乐海旁 地铁口水晶芸祥府电梯精装三房首付50万读?,https://xm.58.com/ershoufang/44348966310793x.shtml,171,19212元/㎡,同安,"横五路,近溪声路",3室2厅2卫,89.01㎡,南北, 否 ,低层(共33层),精装修,70年产权,2020年,水晶芸溪祥府,21110.0元/㎡,0.0元/平米/月,2.16,42,522
39,赠送36平 地铁口 业主定房 只求出售  出价面?,https://xm.58.com/ershoufang/44333203004313x.shtml,426,36636元/㎡,集美,"园博二里139-141,197-200号",3室2厅2卫,116.28㎡,南北, 否 ,低层(共30层),精装修,70年产权,2015年,中航城国际社区(A区B02地块公寓),41479.0元/㎡,2.6元/平米/月,0,0,800
40,3室2厅1卫 74.0平米 518.00万元?,https://xm.58.com/ershoufang/44289987388691x.shtml,518,70000元/㎡,思明,万寿北里91-137号,3室2厅1卫,74.0㎡,南北, 否 ,低层(共7层),精装修,,2003年,万寿新城,71460.0元/㎡,1.2元/平米/月,0,0,1
41,读热点小学健身公园旁边坐拥四大商超刚需小三房带电?,https://xm.58.com/ershoufang/44355759984014x.shtml,478,51063元/㎡,思明,莲前东路701-709号,3室2厅2卫,93.61㎡,南北, 否 ,中层(共9层),精装修,70年产权,2004年,明发花园,49784.0元/㎡,1.2元/平米/月,0,0,500
42,3室2厅91.32平方米朝南?,https://xm.58.com/ershoufang/44247441420314x.shtml,310,33947元/㎡,集美,宁海二里19-24号,3室2厅1卫,91.32㎡,南, 否 ,低层(共40层),精装修,70年产权,2013年,禹洲中央海岸(三期),36180.0元/㎡,2.5元/平米/月,4.34,33,1000
43,岛外高档小区，园博一号，温泉入户，楼中楼出售?,https://xm.58.com/ershoufang/44356626364444x.shtml,1210,38004元/㎡,集美,"园博一里1,9-12,16-20,29号",7室2厅4卫,318.39㎡,南北, 否 ,高层(共31层),简单装修,70年产权,2015年,园博1号(公寓住宅),45107.0元/㎡,3.0元/平米/月,3.1,40,300
44,集美 嘉庚旁 业主自住精装大两房 朝南双阳台 诚?,https://xm.58.com/ershoufang/44138173906455x.shtml,195,22888元/㎡,同安,美人山一里2-28号,2室2厅1卫,85.2㎡,南北, 否 ,低层(共35层),精装修,70年产权,2010年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
45,05年 金尚 封闭式小区 中间楼层居家精装修三面?,https://xm.58.com/ershoufang/44138378927384x.shtml,388,41467元/㎡,湖里,金尚路251-263号,3室2厅2卫,93.57㎡,东南, 否 ,低层(共6层),精装修,70年产权,2004年,一元花园(二期),51709.0元/㎡,1.25元/平米/月,0,32,120
46,金尚路 金尚公园 玉山花园 复式3房 挑空客厅 ?,https://xm.58.com/ershoufang/44203540097931x.shtml,520,64830元/㎡,湖里,金昌路1-6号,3室2厅2卫,80.21㎡,南北, 否 ,中层(共7层),精装修,70年产权,2006年,玉山花园,66039.0元/㎡,1.0元/平米/月,0,30,130
47,全新装5房未入住轻奢风满两年读实验小学?,https://xm.58.com/ershoufang/44238083224068x.shtml,1860,96110元/㎡,湖里,五缘西三里1-47号,5室2厅3卫,193.53㎡,南北, 否 ,中层(共16层),精装修,70年产权,2013年,联发五缘湾1号,85889.0元/㎡,2.7元/平米/月,2,50,1200
48,年底特价减20万。双地铁，隧道口精装三房。厦门外?,https://xm.58.com/ershoufang/44294219565338x.shtml,270,30338元/㎡,翔安,浦园林前里1-103号,3室2厅2卫,89.0㎡,南北, 否 ,中层(共16层),精装修,70年产权,2018年,浦园村(林前),24992.0元/㎡,0,0,"
                                            ",
49,读附.中 精装修 未入住3房 厦门湾南岸 高层看?,https://xm.58.com/ershoufang/44293728689289x.shtml,95,9048元/㎡,厦门周边,南滨大道389号,3室2厅2卫,105.0㎡,南北, 否 ,低层(共32层),精装修,70年产权,2015年,永鸿厦门湾南岸,9579.0元/㎡,1.9元/平米/月,3.31,25,1513
50,湖滨南路 港务宿舍 故宫小学 十一中旁 2房南北?,https://xm.58.com/ershoufang/44345178812821x.shtml,299,55371元/㎡,思明,湖滨南路14-18号,2室1厅1卫,54.0㎡,南北, 否 ,中层(共7层),精装修,70年产权,1984年,港务局宿舍(湖滨南路),55418.0元/㎡,0.5元/平米/月,0,34,80
51,满五  住房 3室2厅 电梯房 港昌新苏格兰 楼?,https://xm.58.com/ershoufang/44170353465764x.shtml,120,9524元/㎡,厦门周边,湘江路89号,3室2厅2卫,126.0㎡,南北, 否 ,中层(共17层),毛坯,70年产权,2013年,港昌新苏格兰,10591.0元/㎡,1.8元/平米/月,2.8,38.19,798
52,港昌金沙滩看海景观房大阳台经典户型读附.小附.中?,https://xm.58.com/ershoufang/44247346405647x.shtml,138,10784元/㎡,厦门周边,宝山路26号,4室2厅2卫,127.97㎡,东北, 否 ,低层(共26层),毛坯,70年产权,2018年,港昌金沙滩,12114.0元/㎡,1.8元/平米/月,2.8,25,798
53,马銮湾万科城中间楼层正规2房 业主置换急售 满二?,https://xm.58.com/ershoufang/44136858749342x.shtml,225,29897元/㎡,海沧,霞光东里1-20号,2室2厅1卫,75.26㎡,南北, 否 ,中层(共35层),精装修,70年产权,2015年,海沧万科城(一期),30351.0元/㎡,2.68元/平米/月,2.7,38,350
54,首付10万 单价八开头 朝南海景房看高尔夫球场低?,https://xm.58.com/ershoufang/44206396258187x.shtml,47.5,8716元/㎡,厦门周边,南滨大道,1室2厅1卫,54.5㎡,南, 否 ,高层(共32层),毛坯,70年产权,2016年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
55,地铁2线 小区电梯 正规公寓带阳台 中环花园挂户?,https://xm.58.com/ershoufang/44333370060062x.shtml,186,52233元/㎡,湖里,江头东路6-10号,1室0厅1卫,35.61㎡,西, 否 ,中层(共16层),精装修,70年产权,2001年,中环贵宾楼,53854.0元/㎡,1.0元/平米/月,0,0,20
56,读公园小学 美仁红楼 电梯精装4房 一梯两户 拎?,https://xm.58.com/ershoufang/44082435363082x.shtml,668,62430元/㎡,思明,禾祥西路116-182号,4室2厅2卫,107.0㎡,南北, 否 ,低层(共17层),精装修,70年产权,1992年,美仁新村南区,62969.0元/㎡,1.2元/平米/月,0,0,240
57,委托  东渡振华大厦 读东渡小学思明六中 首付1?,https://xm.58.com/ershoufang/44292498535172x.shtml,485,45302元/㎡,湖里,东渡路59-61号,3室2厅2卫,107.06㎡,东北, 否 ,高层(共28层),精装修,70年产权,2005年,振华大厦,46813.0元/㎡,1.1元/平米/月,0,0,10
58,漳州港 永鸿厦门湾南岸 高楼层看海 边套采光全名?,https://xm.58.com/ershoufang/44344499423269x.shtml,88,7858元/㎡,厦门周边,南滨大道389号,3室2厅2卫,112.0㎡,南北, 否 ,高层(共32层),毛坯,70年产权,2015年,永鸿厦门湾南岸,9579.0元/㎡,1.9元/平米/月,3.31,25,1513
59,(真实保证)中航城A区A2地块4室?,https://xm.58.com/ershoufang/44250179672461x.shtml,538,37104元/㎡,集美,园博五里1-10号,4室2厅3卫,145.0㎡,南北, 否 ,低层(共31层),精装修,70年产权,2013年,中航城国际社区(A区A02地块),37132.0元/㎡,2.6元/平米/月,0,0,720
60,全海景 双学位 厦门湾一号 9000元平卡达凯斯?,https://xm.58.com/ershoufang/44324503721382x.shtml,89.1,9000元/㎡,厦门周边,南滨大道,3室2厅2卫,99.0㎡,南北, 是 ,中层(共32层),豪华装修,70年产权,2016年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
61,海投天湖城 阿罗海地铁旁 F户型 送入户双阳台 ?,https://xm.58.com/ershoufang/44292981806758x.shtml,458,36038元/㎡,海沧,滨湖一里1-38号,3室2厅2卫,127.09㎡,南, 否 ,中层(共30层),精装修,70年产权,2012年,天湖城天湖,36189.0元/㎡,1.95元/平米/月,2.96,40,5000
62,买房送家具家电大礼包！厦大教育助您成才！拎包即住?,https://xm.58.com/ershoufang/44205699337613x.shtml,94,10562元/㎡,厦门周边,南滨大道395号,3室2厅2卫,89.0㎡,南北, 是 ,低层(共33层),精装修,70年产权,2017年,阳光城丽景湾,11403.0元/㎡,1.0元/平米/月,2.5,25,500
63,厦门旁VR全景，精装海景.拎包入住省去装修的烦恼?,https://xm.58.com/ershoufang/44350225130655x.shtml,98,11396元/㎡,厦门周边,南海一路29号,2室2厅1卫,86.0㎡,南北, 否 ,低层(共32层),精装修,70年产权,2015年,招商卡达凯斯,12020.0元/㎡,0.0元/平米/月,1.5,40,500
64,新房7折 厦门湾南岸二期 一线湖景房 户型方正 ?,https://xm.58.com/ershoufang/44304507611529x.shtml,118.75,9500元/㎡,厦门周边,南滨大道389号,4室2厅2卫,125.0㎡,南北, 是 ,中层(共32层),精装修,70年产权,2016年,永鸿厦门湾南岸,9579.0元/㎡,1.9元/平米/月,3.31,25,1513
65,五缘湾 新景国际外滩 精装4房 送车位 一期阳光?,https://xm.58.com/ershoufang/44292260315538x.shtml,1050,97648元/㎡,湖里,五缘西一里1-61号,4室2厅3卫,107.53㎡,东西, 否 ,低层(共15层),精装修,70年产权,2014年,新景国际外滩,102036.0元/㎡,2.2元/平米/月,1.8,40,1800
66,满五   万科城精装两房 仅售220万 业主换房?,https://xm.58.com/ershoufang/43762953160212x.shtml,220,27299元/㎡,海沧,霞光东里21-65号,2室2厅1卫,80.59㎡,南北, 否 ,低层(共35层),精装修,70年产权,2016年,海沧万科城(二期),30100.0元/㎡,2.68元/平米/月,2.7,38,350
67,招商卡达凯斯 新装未入住 高层看海 南北通透 双?,https://xm.58.com/ershoufang/44344272727065x.shtml,155,12063元/㎡,厦门周边,南海一路29号,3室2厅2卫,128.5㎡,南北, 否 ,高层(共33层),精装修,70年产权,2015年,招商卡达凯斯,12020.0元/㎡,0.0元/平米/月,1.5,40,500
68,招商兰溪谷 电梯景观房 一梯两户高端洋房 全明结?,https://xm.58.com/ershoufang/44147923806236x.shtml,102,10074元/㎡,厦门周边,南滨大道,3室2厅2卫,101.26㎡,南北, 是 ,高层(共11层),精装修,70年产权,2018年,招商兰溪谷,11767.0元/㎡,1.25元/平米/月,1,40,5396
69,满5年省税，安静位置 自住装  南北通透 高层看?,https://xm.58.com/ershoufang/44146114666647x.shtml,1330,107771元/㎡,湖里,"五缘西三里50-60,102-150号",3室2厅3卫,123.41㎡,南北, 否 ,高层(共16层),精装修,70年产权,2008年,源昌鑫海湾(公寓住宅),107538.0元/㎡,2.7元/平米/月,1.8,50,1380
70,报价282万低于行情价 网络发不了这么低的价钱 ?,https://xm.58.com/ershoufang/44268449431454x.shtml,290.5,33140元/㎡,集美,乐海北里17-146号,2室2厅1卫,87.66㎡,南, 否 ,高层(共28层),简单装修,70年产权,2009年,泉舜泉水湾(一期),37105.0元/㎡,1.6元/平米/月,3.49,35,840
71,温泉花园角美原镇政府旁带500平独立露使用面积近?,https://xm.58.com/ershoufang/44301107485197x.shtml,168,12924元/㎡,厦门周边,文圃大道1号,3室2厅2卫,130.0㎡,南北, 否 ,中层(共6层),简单装修,70年产权,2000年,温泉花园,12315.0元/㎡,0.0元/平米/月,0,0,50
72,首开领翔上郡(公寓住宅) 精装3室2厅采光好房间?,https://xm.58.com/ershoufang/44347295844097x.shtml,226,24396元/㎡,翔安,"新莲一里15-19号,新莲二里23-30号,新莲三里1-9号",3室2厅1卫,92.64㎡,南, 否 ,高层(共33层),精装修,70年产权,2012年,首开领翔上郡(公寓住宅),24199.0元/㎡,2.2元/平米/月,2.5,30,2067
73,满二年 正南向 三室二厅 简单装修 火车站?,https://xm.58.com/ershoufang/44167287302823x.shtml,350,56452元/㎡,思明,东浦路6-12号,3室2厅1卫,62.0㎡,南, 否 ,中层(共7层),简单装修,,1999年,金枫园,61955.0元/㎡,1.0元/平米/月,2.1,30,200
74,厦门海沧盘！急！精装修 毛坯价 单价仅9021 ?,https://xm.58.com/ershoufang/44358034353669x.shtml,93,8832元/㎡,厦门周边,南滨大道389号,3室2厅1卫,105.3㎡,东南, 否 ,高层(共33层),精装修,70年产权,2016年,永鸿厦门湾南岸,9579.0元/㎡,1.9元/平米/月,3.31,25,1513
75,厦门周边 首付6万起 漳州港 卡达凯斯旁 中骏四?,https://xm.58.com/ershoufang/44106717058820x.shtml,59.1,6641元/㎡,厦门周边,208省道,3室2厅2卫,89.0㎡,南北, 是 ,低层(共18层),精装修,70年产权,2016年,中骏四季花都,7330.0元/㎡,1.98元/平米/月,2.2,25,617
76,看过来咯 首付10w 买学去大三房 入厦20芬 ?,https://xm.58.com/ershoufang/44168243964164x.shtml,79,7420元/㎡,厦门周边,滨海大道,3室2厅2卫,106.48㎡,南, 是 ,低层(共30层),精装修,70年产权,2017年,绿创铂悦府,7529.0元/㎡,1.5元/平米/月,2.1,25,923
77,阳光城丽景湾旁融信观山海精装房只卖95万免双税?,https://xm.58.com/ershoufang/44271580722464x.shtml,95,10675元/㎡,厦门周边,东湖路3号,3室2厅1卫,89.0㎡,南北, 否 ,高层(共32层),精装修,70年产权,2015年,融信观山海,8826.0元/㎡,0.0元/平米/月,1.1,55,1000
78,首付1万月供1800元1室0厅35.74平方米朝?,https://xm.58.com/ershoufang/44333156785436x.shtml,34,9514元/㎡,厦门周边,北门东路36号,1室0厅1卫,35.74㎡,北, 否 ,中层(共14层),简单装修,70年产权,2015年,星河城市广场,10591.0元/㎡,1.2元/平米/月,3,25,300
79,漳州港三盛国际海岸 通透中式洋房，舒适空间 送.?,https://xm.58.com/ershoufang/44260257144741x.shtml,108,9643元/㎡,厦门周边,201省道,3室2厅2卫,112.0㎡,南北, 否 ,高层(共10层),毛坯,70年产权,2017年,三盛国际海岸,8913.0元/㎡,1.98元/平米/月,1.39,25,2800
80,万科金域华府旁联发杏林湾大两房满五  豪装无遮挡?,https://xm.58.com/ershoufang/44214727335834x.shtml,329,37515元/㎡,集美,宁海五里32-42号,2室2厅1卫,87.7㎡,南, 否 ,低层(共41层),豪华装修,70年产权,2014年,联发杏林湾一号(一期公寓住宅),37458.0元/㎡,2.68元/平米/月,3.59,32,150
81,售楼部直售）小户型带双阳台单价9700元 清盘 ?,https://xm.58.com/ershoufang/44304024772870x.shtml,72.75,9700元/㎡,厦门周边,"招商大道,近丽江路",2室2厅1卫,75.0㎡,南, 是 ,中层(共32层),精装修,70年产权,2015年,永鸿悦海湾,9821.0元/㎡,1.5元/平米/月,3,30.05,690
82,禹洲尊海 大四房 精装居家装修 通透户型 435?,https://xm.58.com/ershoufang/44236287974941x.shtml,435,36589元/㎡,海沧,滨湖二里197-219号,4室2厅2卫,118.89㎡,东南, 否 ,低层(共39层),精装修,70年产权,2013年,禹洲尊海(公寓住宅),42796.0元/㎡,2.5元/平米/月,2.8,49,500
83,Omay gay 好漂亮啊 卡达凯斯大佬.美仑山?,https://xm.58.com/ershoufang/44292794032936x.shtml,139,10000元/㎡,厦门周边,南海一路29号,4室2厅2卫,139.0㎡,南北, 否 ,中层(共30层),毛坯,70年产权,2019年,招商卡达凯斯,12020.0元/㎡,0.0元/平米/月,1.5,40,500
84,招商兰溪谷旁 厦门湾一号正对双鱼岛 无遮挡全海景?,https://xm.58.com/ershoufang/44138261161096x.shtml,54.36,8768元/㎡,厦门周边,南滨大道,2室1厅1卫,62.0㎡,南北, 否 ,高层(共32层),毛坯,70年产权,2016年,永鸿厦门湾1号,9509.0元/㎡,1.9元/平米/月,2.7,25,502
